TICKER;DATE;SIGMA;OPEN;HIGH;LOW;CLOSE;VOL;WAPRICE
MICEXINDEXCF;21.12.2012;-0.007243553;1487.99;1490.51;1470.24;1477.44;;
MICEXINDEXCF;24.12.2012;-0.003864793;1477.44;1482.27;1471.47;1471.73;;
MICEXINDEXCF;25.12.2012;0.00122305;1471.73;1475.08;1467.21;1473.53;;
MICEXINDEXCF;26.12.2012;0.003447504;1473.53;1479.5;1471.17;1478.61;;
MICEXINDEXCF;27.12.2012;-0.000250235;1478.61;1482.35;1475.82;1478.24;;
MICEXINDEXCF;28.12.2012;-0.00238121;1478.22;1480.37;1472.55;1474.72;;
MICEXINDEXCF;08.01.2013;0.027191602;1474.73;1517.88;1474.73;1514.82;;
MICEXINDEXCF;09.01.2013;0.000785572;1514.82;1517.2;1510.61;1516.01;;
MICEXINDEXCF;10.01.2013;-0.005837692;1516.01;1518.41;1506.96;1507.16;;
MICEXINDEXCF;11.01.2013;0.002441678;1507.16;1513.04;1503.38;1510.84;;
MICEXINDEXCF;14.01.2013;0.011675624;1510.84;1529.57;1510.21;1528.48;;
MICEXINDEXCF;15.01.2013;-0.008655658;1528.48;1528.48;1515.16;1515.25;;
MICEXINDEXCF;16.01.2013;-0.000257383;1515.25;1517.34;1507.33;1514.86;;
MICEXINDEXCF;17.01.2013;0.005861928;1514.86;1524.94;1513.62;1523.74;;
MICEXINDEXCF;18.01.2013;0.011032066;1523.74;1542.11;1523.73;1540.55;;
MICEXINDEXCF;21.01.2013;-0.001875953;1540.57;1542.8;1533.26;1537.66;;
MICEXINDEXCF;22.01.2013;-0.007999168;1537.68;1540.03;1517.01;1525.36;;
MICEXINDEXCF;23.01.2013;0.007952221;1525.28;1538.13;1523.81;1537.49;;
MICEXINDEXCF;24.01.2013;-0.002419528;1537.44;1537.44;1518.82;1533.77;;
MICEXINDEXCF;25.01.2013;0.006682879;1533.77;1544.85;1526.02;1544.02;;
MICEXINDEXCF;28.01.2013;0.012247251;1544.02;1563.93;1543.24;1562.93;;
MICEXINDEXCF;29.01.2013;-0.008432879;1562.93;1566.42;1549.18;1549.75;;
MICEXINDEXCF;30.01.2013;-0.004078077;1549.75;1559.47;1537.08;1543.43;;
MICEXINDEXCF;31.01.2013;0.002157532;1543.43;1547.37;1535.52;1546.76;;
MICEXINDEXCF;01.02.2013;0.000297396;1546.52;1555.83;1543.13;1547.22;;
MICEXINDEXCF;04.02.2013;-0.007671824;1547.22;1553.38;1533.42;1535.35;;
MICEXINDEXCF;05.02.2013;0.0032631;1535.37;1540.63;1528.49;1540.36;;
MICEXINDEXCF;06.02.2013;-0.006479005;1540.39;1553.19;1526.93;1530.38;;
MICEXINDEXCF;07.02.2013;-0.002940446;1530.38;1533.06;1518.86;1525.88;;
MICEXINDEXCF;08.02.2013;-0.003912496;1526.12;1527.19;1510.83;1519.91;;
MICEXINDEXCF;11.02.2013;-0.002644893;1519.93;1527.03;1515.39;1515.89;;
MICEXINDEXCF;12.02.2013;-0.002546359;1515.87;1518.75;1507.54;1512.03;;
MICEXINDEXCF;13.02.2013;0.01712929;1512.03;1541;1512.03;1537.93;;
MICEXINDEXCF;14.02.2013;-0.012165703;1537.93;1550.03;1514.14;1519.22;;
MICEXINDEXCF;15.02.2013;-0.007273469;1519.22;1520.14;1500.79;1508.17;;
MICEXINDEXCF;18.02.2013;0.00144546;1508.19;1511.72;1498.3;1510.35;;
MICEXINDEXCF;19.02.2013;0.008170292;1510.33;1523.35;1509.54;1522.69;;
MICEXINDEXCF;20.02.2013;-0.00741451;1522.69;1526.34;1511.08;1511.4;;
MICEXINDEXCF;21.02.2013;-0.01170438;1511.4;1512.27;1486.49;1493.71;;
MICEXINDEXCF;22.02.2013;0.001941475;1493.71;1501.69;1491.83;1496.61;;
MICEXINDEXCF;25.02.2013;0.004710646;1496.61;1506.47;1493.35;1503.66;;
MICEXINDEXCF;26.02.2013;-0.012629185;1503.75;1504.98;1482.01;1484.67;;
MICEXINDEXCF;27.02.2013;0.001683876;1484.67;1491.64;1481.11;1487.17;;
MICEXINDEXCF;28.02.2013;-0.000759832;1487.17;1496.61;1483.24;1486.04;;
MICEXINDEXCF;01.03.2013;-0.008411617;1486.06;1487.46;1466.84;1473.54;;
MICEXINDEXCF;04.03.2013;-0.006168818;1473.54;1477.27;1461.45;1464.45;;
MICEXINDEXCF;05.03.2013;0.013499949;1463.98;1486.19;1462.49;1484.22;;
MICEXINDEXCF;06.03.2013;0.004898196;1485.04;1498.07;1485.04;1491.49;;
MICEXINDEXCF;07.03.2013;-9.39E-05;1491.99;1498.29;1489.02;1491.35;;
MICEXINDEXCF;11.03.2013;0.008515774;1491.14;1516.49;1491.14;1504.05;;
MICEXINDEXCF;12.03.2013;-0.001522556;1503.98;1506.42;1494.92;1501.76;;
MICEXINDEXCF;13.03.2013;-0.003589122;1501.41;1510.67;1493.55;1496.37;;
MICEXINDEXCF;14.03.2013;0.001737538;1495.73;1504.74;1490.35;1498.97;;
MICEXINDEXCF;15.03.2013;-0.002575102;1498.83;1515.16;1493.61;1495.11;;
MICEXINDEXCF;18.03.2013;-0.021597073;1495.71;1497.9;1449.22;1462.82;;
MICEXINDEXCF;19.03.2013;-0.009310783;1461.88;1469.78;1448.55;1449.2;;
MICEXINDEXCF;20.03.2013;0.006783053;1448.84;1460.66;1442.68;1459.03;;
MICEXINDEXCF;21.03.2013;0.000130224;1458.24;1466.95;1457.93;1459.22;;
MICEXINDEXCF;22.03.2013;-0.012239416;1459.17;1460.39;1440.27;1441.36;;
MICEXINDEXCF;25.03.2013;-0.008949881;1441.26;1458.58;1425.78;1428.46;;
MICEXINDEXCF;26.03.2013;-0.008022626;1427.99;1432.41;1412.41;1417;;
MICEXINDEXCF;27.03.2013;0.00564573;1416.78;1426.68;1407.22;1425;;
MICEXINDEXCF;28.03.2013;0.006442105;1424.56;1434.38;1414.96;1434.18;;
MICEXINDEXCF;29.03.2013;0.003060983;1434.88;1440.1;1432.8;1438.57;;
MICEXINDEXCF;01.04.2013;-0.007020861;1438.84;1442.7;1427.83;1428.47;;
MICEXINDEXCF;02.04.2013;0.001281091;1428.29;1435.12;1424.9;1430.3;;
MICEXINDEXCF;03.04.2013;-0.001650003;1430.3;1433.81;1422.48;1427.94;;
MICEXINDEXCF;04.04.2013;-0.000749331;1427.42;1440.62;1416.75;1426.87;;
MICEXINDEXCF;05.04.2013;-0.007134497;1426.61;1430.55;1410.47;1416.69;;
MICEXINDEXCF;08.04.2013;-0.005745788;1417.28;1430.58;1406.67;1408.55;;
MICEXINDEXCF;09.04.2013;0.012026552;1408.81;1427.29;1408.81;1425.49;;
MICEXINDEXCF;10.04.2013;7.02E-06;1425.79;1432.55;1419.96;1425.5;;
MICEXINDEXCF;11.04.2013;-0.016674851;1425.19;1428.84;1397.82;1401.73;;
MICEXINDEXCF;12.04.2013;-0.011335992;1400.92;1401.46;1380.57;1385.84;;
MICEXINDEXCF;15.04.2013;-0.018869422;1385.62;1387.94;1351.83;1359.69;;
MICEXINDEXCF;16.04.2013;-0.00538358;1358.23;1366.45;1349.93;1352.37;;
MICEXINDEXCF;17.04.2013;-0.012186014;1353.41;1358.61;1328.84;1335.89;;
MICEXINDEXCF;18.04.2013;-0.000509024;1335.91;1350.67;1333.73;1335.21;;
